filename,station,event_id,magnitude,mag_band,t_start,t_origin,status
small_KO.KMRS_636306187.npz,KO.KMRS,636306187,1.7,M1.5-2.0,2023-04-16T20:10:13.700000Z,2023-04-16T20:10:43.700000Z,ok
small_KO.KOZT_636306495.npz,KO.KOZT,636306495,1.8,M1.5-2.0,2023-04-18T04:06:18.200000Z,2023-04-18T04:06:48.200000Z,ok
small_KO.KMRS_636306495.npz,KO.KMRS,636306495,1.8,M1.5-2.0,2023-04-18T04:06:18.200000Z,2023-04-18T04:06:48.200000Z,ok
small_KO.KOZT_626671221.npz,KO.KOZT,626671221,1.7,M1.5-2.0,2023-02-23T08:16:50.600000Z,2023-02-23T08:17:20.600000Z,ok
small_KO.KMRS_626671221.npz,KO.KMRS,626671221,1.7,M1.5-2.0,2023-02-23T08:16:50.600000Z,2023-02-23T08:17:20.600000Z,ok
small_KO.KOZT_642733405.npz,KO.KOZT,642733405,1.6,M1.5-2.0,2023-04-27T18:03:05.000000Z,2023-04-27T18:03:35.000000Z,ok
small_KO.KMRS_642733405.npz,KO.KMRS,642733405,1.6,M1.5-2.0,2023-04-27T18:03:05.000000Z,2023-04-27T18:03:35.000000Z,ok
small_KO.KOZT_636319727.npz,KO.KOZT,636319727,1.6,M1.5-2.0,2023-07-01T06:15:26.200000Z,2023-07-01T06:15:56.200000Z,ok
small_KO.KMRS_636319727.npz,KO.KMRS,636319727,1.6,M1.5-2.0,2023-07-01T06:15:26.200000Z,2023-07-01T06:15:56.200000Z,ok
small_KO.KOZT_626665069.npz,KO.KOZT,626665069,1.9,M1.5-2.0,2023-02-12T06:10:19.200000Z,2023-02-12T06:10:49.200000Z,ok
small_KO.KMRS_626665069.npz,KO.KMRS,626665069,1.9,M1.5-2.0,2023-02-12T06:10:19.200000Z,2023-02-12T06:10:49.200000Z,ok
